filename_base,task_id,source,misjudgement,answer,llm_answer,evaluated,data_id,difficulty,problem_text_length,solution_text_length,prompt_perplexity,statement_gunning_fog_index,statement_flesch_kincaid_grade,api_calls,actual_verdict,File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time,module,pylint_total_issues,pylint_convention,pylint_error,pylint_refactor,pylint_warning,File,complexity_sum,bandit_total_issues,bandit_unique_severities,bandit_unique_confidences
code_task_93_data_Mixtral,93,Mixtral,True,B,C,B,397,1,1767,1020,1.0007101806893601,10.57289644012945,8.744463996763756,0,CE,code_task_93_data_Mixtral.py,28,21,23,0,17,53.53603889454675,7,19,26,12,24,36,26,169.21582985307933,4.421052631578948,748.1120898767718,0.0564052766176931,41.56178277093177,code_task_93_data_Mixtral,1.0,0.0,1.0,0.0,0.0,code_task_93_data_Mixtral.py,8,0.0,0.0,0.0
code_task_93_data_llama,93,llama,False,C,C,C,398,1,1767,1160,1.0000167630628127,10.57289644012945,8.744463996763756,14,WA,code_task_93_data_llama.py,26,23,19,5,16,78.2059209813345,2,21,23,12,24,36,23,162.84823041805248,1.1428571428571428,186.11226333491712,0.0542827434726841,10.339570185273171,code_task_93_data_llama,6.0,2.0,0.0,2.0,2.0,code_task_93_data_llama.py,23,0.0,0.0,0.0
code_task_93_data_chatglm,93,chatglm,False,C,C,C,399,1,1767,858,1.0001584976282452,10.57289644012945,8.744463996763756,9,WA,code_task_93_data_chatglm.py,24,18,16,5,8,89.99241011131858,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.0051699250014423,0.861654166907052,code_task_93_data_chatglm,5.0,3.0,0.0,0.0,2.0,code_task_93_data_chatglm.py,11,0.0,0.0,0.0
code_task_94_data_gpt4,94,gpt4,True,C,A,C,400,1,1370,121,1.0002656624501391,12.119922630560929,10.115435203094776,9,WA,code_task_94_data_gpt4.py,7,7,6,0,0,70.23009227399096,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.01268458260167,4.228194200556697,code_task_94_data_gpt4,2.0,2.0,0.0,0.0,0.0,code_task_94_data_gpt4.py,1,0.0,0.0,0.0
code_task_94_data_deepseekcoder,94,deepseekcoder,False,C,C,C,401,1,1370,484,1.0002074956302323,12.119922630560929,10.115435203094776,10,WA,code_task_94_data_deepseekcoder.py,23,20,20,0,5,55.74238966641276,6,20,26,11,22,33,26,155.11451069865606,3.3,511.877885305565,0.051704836899552,28.43766029475361,code_task_94_data_deepseekcoder,7.0,3.0,0.0,0.0,4.0,code_task_94_data_deepseekcoder.py,5,0.0,0.0,0.0
code_task_94_data_gemma,94,gemma,False,C,C,C,402,1,1370,104,1.0000003128163746,12.119922630560929,10.115435203094776,5,WA,code_task_94_data_gemma.py,8,8,8,0,0,69.87409083132408,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7,code_task_94_data_gemma,2.0,2.0,0.0,0.0,0.0,code_task_94_data_gemma.py,3,0.0,0.0,0.0
code_task_94_data_qwen,94,qwen,True,C,A,C,404,1,1370,419,1.17378582449964,12.119922630560929,10.115435203094776,13,WA,code_task_94_data_qwen.py,20,13,13,2,4,81.00260912274939,8,17,25,12,22,34,25,157.89111045234063,5.176470588235294,817.3186894003516,0.0526303701507802,45.40659385557509,code_task_94_data_qwen,7.0,5.0,0.0,0.0,2.0,code_task_94_data_qwen.py,3,0.0,0.0,0.0
code_task_94_data_llama,94,llama,False,C,C,C,405,1,1370,415,1.0000048425671522,12.119922630560929,10.115435203094776,8,WA,code_task_94_data_llama.py,15,8,8,5,2,97.46118646250594,4,5,9,5,10,15,9,47.548875021634686,4.0,190.19550008653871,0.0158496250072115,10.566416671474377,code_task_94_data_llama,4.0,2.0,0.0,0.0,2.0,code_task_94_data_llama.py,1,0.0,0.0,0.0
code_task_95_data_wizardcoder,95,wizardcoder,False,C,C,C,406,1,1327,633,1.0000050809760002,11.816039051603907,9.161600418410046,13,WA,code_task_95_data_wizardcoder.py,27,26,26,0,0,52.60572494068584,5,12,17,11,22,33,17,134.8862737612612,4.583333333333333,618.2287547391138,0.0449620912537537,34.346041929950765,code_task_95_data_wizardcoder,2.0,2.0,0.0,0.0,0.0,code_task_95_data_wizardcoder.py,20,0.0,0.0,0.0
code_task_95_data_starcoder,95,starcoder,False,C,C,C,407,1,1327,164,1.0,11.816039051603907,9.161600418410046,8,WA,code_task_95_data_starcoder.py,9,6,6,1,0,96.16576096844727,2,3,5,3,4,7,5,16.253496664211536,1.3333333333333333,21.67132888561538,0.0054178322214038,1.2039627158675212,code_task_95_data_starcoder,1.0,1.0,0.0,0.0,0.0,code_task_95_data_starcoder.py,2,0.0,0.0,0.0
code_task_95_data_gemma,95,gemma,False,C,C,C,408,1,1327,385,1.0000037697296307,11.816039051603907,9.161600418410046,9,WA,code_task_95_data_gemma.py,18,18,18,0,0,57.94113868396701,4,10,14,8,15,23,14,87.56916320732489,3.0,262.7074896219747,0.0291897210691082,14.59486053455415,code_task_95_data_gemma,4.0,2.0,0.0,2.0,0.0,code_task_95_data_gemma.py,16,0.0,0.0,0.0
code_task_95_data_gpt4,95,gpt4,False,A,A,A,409,1,1327,261,1.0000001936126681,11.816039051603907,9.161600418410046,7,AC,code_task_95_data_gpt4.py,16,13,13,0,0,57.50432408417007,6,19,25,20,40,60,25,278.63137138648347,6.315789473684211,1759.7770824409483,0.0928771237954944,97.76539346894155,code_task_95_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_95_data_gpt4.py,8,0.0,0.0,0.0
code_task_96_data_codellama,96,codellama,False,C,C,C,410,1,1595,268,1.000002935301142,11.666666666666668,8.656111111111112,8,WA,code_task_96_data_codellama.py,19,14,14,0,2,60.57542143834959,7,9,16,8,15,23,16,92.0,5.833333333333333,536.6666666666666,0.0306666666666666,29.814814814814813,code_task_96_data_codellama,3.0,2.0,0.0,1.0,0.0,code_task_96_data_codellama.py,2,0.0,0.0,0.0
code_task_96_data_wenxin,96,wenxin,False,C,C,C,412,1,1595,598,1.0000048425671522,11.666666666666668,8.656111111111112,11,WA,code_task_96_data_wenxin.py,32,23,23,2,9,71.54476663144803,8,12,20,10,18,28,20,121.01398665684616,6.0,726.0839199410769,0.040337995552282,40.33799555228205,code_task_96_data_wenxin,7.0,4.0,0.0,1.0,2.0,code_task_96_data_wenxin.py,9,0.0,0.0,0.0
code_task_96_data_gemma,96,gemma,False,C,C,C,413,1,1595,13,1.1743356007142915,11.666666666666668,8.656111111111112,0,WA,code_task_96_data_gemma.py,5,5,5,0,0,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,code_task_96_data_gemma,7.0,2.0,0.0,0.0,5.0,code_task_96_data_gemma.py,0,0.0,0.0,0.0
code_task_96_data_Mixtral,96,Mixtral,True,B,C,B,414,1,1595,311,1.0019306130607875,11.666666666666668,8.656111111111112,0,CE,code_task_96_data_Mixtral.py,20,18,18,0,2,57.426227587924224,8,12,20,8,16,24,20,103.72627427729672,5.333333333333333,553.2067961455824,0.0345754247590989,30.7337108969768,code_task_96_data_Mixtral,1.0,0.0,1.0,0.0,0.0,code_task_96_data_Mixtral.py,1,0.0,0.0,0.0
code_task_97_data_gpt3.5,97,gpt3.5,False,C,C,C,415,1,1971,739,1.0000355977359807,15.783105022831052,12.69551369863014,9,WA,code_task_97_data_gpt3.5.py,31,29,29,0,9,50.57043944043997,5,17,22,16,32,48,22,214.05271769459029,4.705882352941177,1007.306906798072,0.0713509058981967,55.96149482211511,code_task_97_data_gpt3.5,15.0,3.0,0.0,6.0,6.0,code_task_97_data_gpt3.5.py,15,0.0,0.0,0.0
code_task_97_data_Mixtral,97,Mixtral,False,C,C,C,416,1,1971,584,1.00012345048308,15.783105022831052,12.69551369863014,8,WA,code_task_97_data_Mixtral.py,23,20,20,0,9,52.40287765994934,11,25,36,26,43,69,36,356.72482509951953,9.46,3374.616845441455,0.1189082750331731,187.4787136356364,code_task_97_data_Mixtral,11.0,3.0,0.0,2.0,6.0,code_task_97_data_Mixtral.py,13,0.0,0.0,0.0
code_task_97_data_wenxin,97,wenxin,False,C,C,C,418,1,1971,2730,1.0000276108358805,15.783105022831052,12.69551369863014,4,WA,code_task_97_data_wenxin.py,90,64,64,14,37,58.98767530728617,9,44,53,56,104,160,53,916.467272730112,10.636363636363637,9747.87917358392,0.3054890909100373,541.5488429768843,code_task_97_data_wenxin,21.0,3.0,2.0,6.0,10.0,code_task_97_data_wenxin.py,53,0.0,0.0,0.0
code_task_97_data_claude3,97,claude3,False,C,C,C,420,1,1971,1118,1.0000301141849774,15.783105022831052,12.69551369863014,5,WA,code_task_97_data_claude3.py,48,31,31,9,13,74.8409881657001,6,19,25,22,36,58,25,269.343659006934,5.684210526315789,1531.0060617236247,0.089781219668978,85.05589231797916,code_task_97_data_claude3,10.0,2.0,0.0,2.0,6.0,code_task_97_data_claude3.py,19,0.0,0.0,0.0
code_task_98_data_wizardcoder,98,wizardcoder,False,C,C,C,421,1,1448,179,1.0,11.392474192474193,8.82828504828505,8,WA,code_task_98_data_wizardcoder.py,7,6,6,0,0,72.599499938762,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5,code_task_98_data_wizardcoder,2.0,2.0,0.0,0.0,0.0,code_task_98_data_wizardcoder.py,3,0.0,0.0,0.0
code_task_98_data_starcoder,98,starcoder,False,C,C,C,422,1,1448,378,1.0000037697296307,11.392474192474193,8.82828504828505,12,WA,code_task_98_data_starcoder.py,17,15,15,0,0,55.601993786890176,3,26,29,25,50,75,29,364.348574634568,2.8846153846153846,1051.0055037535617,0.1214495248781893,58.38919465297564,code_task_98_data_starcoder,1.0,1.0,0.0,0.0,0.0,code_task_98_data_starcoder.py,6,0.0,0.0,0.0
code_task_98_data_gpt3.5,98,gpt3.5,False,A,A,A,423,1,1448,600,1.0067395226000964,11.392474192474193,8.82828504828505,19,AC,code_task_98_data_gpt3.5.py,17,13,13,2,0,75.14639600611247,4,46,50,36,72,108,50,609.5364684956702,3.130434782608696,1908.1141622473156,0.20317882283189,106.00634234707309,code_task_98_data_gpt3.5,2.0,2.0,0.0,0.0,0.0,code_task_98_data_gpt3.5.py,17,0.0,0.0,0.0
code_task_98_data_gemma,98,gemma,True,B,C,B,424,1,1448,187,1.0000276108358805,11.392474192474193,8.82828504828505,0,CE,code_task_98_data_gemma.py,7,7,7,0,0,68.39441901970014,2,10,12,5,12,17,12,60.94436251225966,1.2,73.13323501471159,0.0203147875040865,4.06295750081731,code_task_98_data_gemma,1.0,0.0,1.0,0.0,0.0,code_task_98_data_gemma.py,3,0.0,0.0,0.0
code_task_99_data_gemini,99,gemini,False,C,C,C,425,1,2319,632,1.000021650506543,12.645733144743046,8.853451202263084,13,WA,code_task_99_data_gemini.py,35,27,27,0,12,48.44968316356976,12,29,41,28,56,84,41,450.034368387919,11.586206896551724,5214.191302701406,0.1500114561293063,289.67729459452255,code_task_99_data_gemini,3.0,2.0,0.0,0.0,1.0,code_task_99_data_gemini.py,15,0.0,0.0,0.0
code_task_99_data_wenxin,99,wenxin,False,C,C,C,426,1,2319,499,1.0000050809760002,12.645733144743046,8.853451202263084,8,WA,code_task_99_data_wenxin.py,22,14,14,2,8,78.48449177012964,11,17,28,14,27,41,28,197.10155180436175,8.735294117647058,1721.740026055748,0.0657005172681205,95.6522236697638,code_task_99_data_wenxin,9.0,2.0,0.0,1.0,6.0,code_task_99_data_wenxin.py,8,0.0,0.0,0.0
code_task_99_data_chatglm,99,chatglm,False,C,C,C,427,1,2319,282,1.0000276108358805,12.645733144743046,8.853451202263084,9,WA,code_task_99_data_chatglm.py,15,13,13,0,0,61.554136289554314,6,10,16,7,14,21,16,84.0,4.2,352.8,0.028,19.6,code_task_99_data_chatglm,1.0,1.0,0.0,0.0,0.0,code_task_99_data_chatglm.py,8,0.0,0.0,0.0
code_task_99_data_Mixtral,99,Mixtral,False,B,B,B,428,1,2319,439,1.1737759422551854,12.645733144743046,8.853451202263084,0,CE,code_task_99_data_Mixtral.py,20,19,19,0,0,54.48420503505186,10,20,30,16,31,47,30,230.6238579936004,7.75,1787.3348994504029,0.0768746193312001,99.29638330280017,code_task_99_data_Mixtral,1.0,0.0,1.0,0.0,0.0,code_task_99_data_Mixtral.py,13,0.0,0.0,0.0
code_task_99_data_claude3,99,claude3,False,C,C,C,429,1,2319,334,1.0000131868988307,12.645733144743046,8.853451202263084,8,WA,code_task_99_data_claude3.py,17,15,15,0,0,58.64868391997383,8,14,22,10,20,30,22,133.78294855911892,5.714285714285714,764.4739917663939,0.0445943161863729,42.47077732035521,code_task_99_data_claude3,1.0,1.0,0.0,0.0,0.0,code_task_99_data_claude3.py,11,0.0,0.0,0.0
code_task_99_data_gemma,99,gemma,False,C,C,C,430,1,2319,282,1.000000908835049,12.645733144743046,8.853451202263084,13,WA,code_task_99_data_gemma.py,13,13,13,0,0,63.820742647901454,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.0132877123795494,3.796489251299843,code_task_99_data_gemma,2.0,2.0,0.0,0.0,0.0,code_task_99_data_gemma.py,7,0.0,0.0,0.0
code_task_100_data_gemma,100,gemma,False,C,C,C,431,1,2823,553,1.000010206772706,12.13673090649536,8.168366167023553,13,WA,code_task_100_data_gemma.py,18,18,18,0,0,51.69514981129024,7,31,38,25,55,80,38,419.8342010754868,6.209677419354839,2607.0349582913295,0.1399447336918289,144.83527546062942,code_task_100_data_gemma,2.0,2.0,0.0,0.0,0.0,code_task_100_data_gemma.py,22,0.0,0.0,0.0
code_task_100_data_wenxin,100,wenxin,False,C,C,C,432,1,2823,1506,1.000002935301142,12.13673090649536,8.168366167023553,19,WA,code_task_100_data_wenxin.py,44,35,35,3,22,60.1882878574278,8,35,43,38,72,110,43,596.8891230172308,8.228571428571428,4911.5447836846415,0.1989630410057435,272.8635990935912,code_task_100_data_wenxin,15.0,5.0,0.0,7.0,3.0,code_task_100_data_wenxin.py,54,0.0,0.0,0.0
code_task_100_data_claude3,100,claude3,False,C,C,C,433,1,2823,1524,1.000010206772706,12.13673090649536,8.168366167023553,24,WA,code_task_100_data_claude3.py,58,43,43,7,16,64.96617268327593,9,31,40,24,46,70,40,372.53496664211536,6.67741935483871,2487.572196610254,0.1241783222140384,138.1984553672363,code_task_100_data_claude3,14.0,3.0,5.0,0.0,6.0,code_task_100_data_claude3.py,17,0.0,0.0,0.0
code_task_101_data_wenxin,101,wenxin,False,C,C,C,435,1,1843,653,1.000035478526093,10.190713101160863,7.659975124378111,15,WA,code_task_101_data_wenxin.py,32,19,19,6,4,83.95216746435857,4,16,20,9,18,27,20,116.6920585619588,2.25,262.55713176440725,0.0388973528539862,14.586507320244849,code_task_101_data_wenxin,10.0,3.0,0.0,0.0,7.0,code_task_101_data_wenxin.py,2,0.0,0.0,0.0
code_task_101_data_codegeex,101,codegeex,False,C,C,C,436,1,1843,269,1.0,10.190713101160863,7.659975124378111,9,WA,code_task_101_data_codegeex.py,17,16,16,0,0,57.847059811607025,6,12,18,13,26,39,18,162.62707505625016,6.5,1057.075987865626,0.05420902501875,58.72644377031256,code_task_101_data_codegeex,2.0,2.0,0.0,0.0,0.0,code_task_101_data_codegeex.py,5,0.0,0.0,0.0
code_task_101_data_gpt3.5,101,gpt3.5,True,C,A,C,437,1,1843,265,1.0000063922234068,10.190713101160863,7.659975124378111,9,TLE,code_task_101_data_gpt3.5.py,13,10,10,0,3,63.41795317443308,6,12,18,9,18,27,18,112.58797503894245,4.5,506.64588767524094,0.0375293250129808,28.146993759735608,code_task_101_data_gpt3.5,7.0,4.0,0.0,0.0,3.0,code_task_101_data_gpt3.5.py,3,0.0,0.0,0.0
code_task_101_data_claude3,101,claude3,False,C,C,C,438,1,1843,225,1.0000204584449384,10.190713101160863,7.659975124378111,12,WA,code_task_101_data_claude3.py,13,10,10,0,0,63.83975681012588,4,11,15,8,16,24,15,93.76537429460444,2.909090909090909,272.7719979479402,0.0312551247648681,15.153999885996676,code_task_101_data_claude3,2.0,1.0,0.0,1.0,0.0,code_task_101_data_claude3.py,6,0.0,0.0,0.0
code_task_101_data_Mixtral,101,Mixtral,False,C,C,C,439,1,1843,192,1.000010206772706,10.190713101160863,7.659975124378111,9,WA,code_task_101_data_Mixtral.py,15,11,11,0,0,62.255358526415016,5,12,17,10,20,30,17,122.6238852375102,4.166666666666667,510.93285515629253,0.0408746284125033,28.38515861979403,code_task_101_data_Mixtral,2.0,2.0,0.0,0.0,0.0,code_task_101_data_Mixtral.py,3,0.0,0.0,0.0
code_task_101_data_gemma,101,gemma,False,C,C,C,440,1,1843,130,1.0000005512238017,10.190713101160863,7.659975124378111,5,WA,code_task_101_data_gemma.py,6,6,6,0,0,69.48122236831541,4,8,12,7,14,21,12,75.28421251514429,3.5,263.494743803005,0.025094737505048,14.638596877944725,code_task_101_data_gemma,2.0,2.0,0.0,0.0,0.0,code_task_101_data_gemma.py,3,0.0,0.0,0.0
code_task_102_data_gpt3.5,102,gpt3.5,False,C,A,C,441,1,941,597,1.0142661957846444,9.182106782106784,7.5573593073593095,4,WA,code_task_102_data_gpt3.5.py,17,14,14,0,5,59.83905698550743,6,9,15,10,20,30,15,117.20671786825557,6.666666666666667,781.3781191217038,0.0390689059560851,43.40989550676132,code_task_102_data_gpt3.5,5.0,4.0,0.0,1.0,0.0,code_task_102_data_gpt3.5.py,4,0.0,0.0,0.0
code_task_102_data_codellama,102,codellama,False,A,A,A,442,1,941,3737,1.0025411907699788,9.182106782106784,7.5573593073593095,102,AC,code_task_102_data_codellama.py,203,201,201,0,0,13.056887644425071,1,101,102,100,200,300,102,2001.7276025914489,0.99009900990099,1981.908517417276,0.6672425341971495,110.10602874540422,code_task_102_data_codellama,1.0,1.0,0.0,0.0,0.0,code_task_102_data_codellama.py,100,0.0,0.0,0.0
code_task_102_data_Mixtral,102,Mixtral,False,C,C,C,444,1,941,588,1.0000594395989961,9.182106782106784,7.5573593073593095,6,WA,code_task_102_data_Mixtral.py,16,13,13,0,6,61.250287651227445,5,8,13,8,16,24,13,88.81055323538621,5.0,444.0527661769311,0.0296035177451287,24.669598120940616,code_task_102_data_Mixtral,9.0,5.0,0.0,3.0,1.0,code_task_102_data_Mixtral.py,7,0.0,0.0,0.0
code_task_103_data_qwen,103,qwen,False,C,C,C,445,1,1929,584,1.0000131868988307,10.859308357348704,7.94134149855908,7,WA,code_task_103_data_qwen.py,24,14,14,5,0,87.24030257999942,4,13,17,11,20,31,17,126.71134807876054,3.076923076923077,389.8810710115709,0.0422371160262535,21.660059500642827,code_task_103_data_qwen,1.0,1.0,0.0,0.0,0.0,code_task_103_data_qwen.py,7,0.0,0.0,0.0
code_task_104_data_chatglm,104,chatglm,False,C,C,C,448,1,1460,235,1.0000062730192742,12.90284090909091,9.895738636363635,10,WA,code_task_104_data_chatglm.py,12,10,10,0,3,67.59255699520756,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.0095097750043269,2.377443751081734,code_task_104_data_chatglm,2.0,2.0,0.0,0.0,0.0,code_task_104_data_chatglm.py,3,0.0,0.0,0.0
code_task_104_data_gpt3.5,104,gpt3.5,False,A,A,A,449,1,1460,307,1.0000001936126681,12.90284090909091,9.895738636363635,8,AC,code_task_104_data_gpt3.5.py,15,11,11,0,0,65.67236614003204,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.0132877123795494,3.796489251299843,code_task_104_data_gpt3.5,2.0,2.0,0.0,0.0,0.0,code_task_104_data_gpt3.5.py,3,0.0,0.0,0.0
code_task_105_data_deepseekcoder,105,deepseekcoder,False,C,C,C,452,1,2270,1195,1.00012345048308,10.285714285714286,7.240952380952383,15,WA,code_task_105_data_deepseekcoder.py,34,29,29,0,13,47.674082574562426,12,36,48,32,55,87,48,485.8917375627407,9.166666666666666,4454.007594325122,0.1619639125209135,247.4448663513957,code_task_105_data_deepseekcoder,14.0,9.0,0.0,3.0,2.0,code_task_105_data_deepseekcoder.py,10,0.0,0.0,0.0
code_task_105_data_wenxin,105,wenxin,False,C,C,C,454,1,2270,2635,1.0000215313001366,10.285714285714286,7.240952380952383,27,WA,code_task_105_data_wenxin.py,72,62,62,3,5,54.11935899243194,10,34,44,35,55,90,44,491.34884567735673,8.088235294117647,3974.1450753315617,0.1637829485591189,220.7858375184201,code_task_105_data_wenxin,16.0,8.0,3.0,1.0,4.0,code_task_105_data_wenxin.py,50,0.0,0.0,0.0
code_task_105_data_magiccoder,105,magiccoder,False,C,C,C,455,1,2270,1139,1.0000215313001366,10.285714285714286,7.240952380952383,16,WA,code_task_105_data_magiccoder.py,28,24,24,0,6,50.88383355596965,10,31,41,27,44,71,41,380.386192327884,7.096774193548387,2699.5149132946603,0.126795397442628,149.97305073859224,code_task_105_data_magiccoder,10.0,6.0,0.0,0.0,4.0,code_task_105_data_magiccoder.py,24,0.0,0.0,0.0
code_task_106_data_deepseekcoder,106,deepseekcoder,False,C,C,C,456,1,3001,1236,1.000096395615461,8.1,4.107500000000002,12,WA,code_task_106_data_deepseekcoder.py,31,16,16,8,1,83.77801111346822,5,42,47,30,60,90,47,499.9129966509874,3.5714285714285716,1785.4035594678123,0.1666376655503291,99.18908663710069,code_task_106_data_deepseekcoder,11.0,6.0,0.0,0.0,5.0,code_task_106_data_deepseekcoder.py,0,0.0,0.0,0.0
code_task_106_data_llama,106,llama,False,C,C,C,457,1,3001,565,1.0002037995569468,8.1,4.107500000000002,14,WA,code_task_106_data_llama.py,24,13,13,6,0,90.82497532427426,3,11,14,7,14,21,14,79.95445336320968,1.9090909090909092,152.64032005703666,0.0266514844544032,8.480017780946481,code_task_106_data_llama,6.0,1.0,0.0,0.0,5.0,code_task_106_data_llama.py,3,0.0,0.0,0.0
code_task_106_data_codegeex,106,codegeex,True,B,C,B,458,1,3001,3849,1.0015064736934178,8.1,4.107500000000002,0,CE,code_task_106_data_codegeex.py,8,6,6,0,0,51.70128926327899,6,888,894,886,1772,2658,894,26059.38025430526,5.986486486486487,156004.12773861122,8.68646008476842,8666.8959854784,code_task_106_data_codegeex,1.0,0.0,1.0,0.0,0.0,code_task_106_data_codegeex.py,2,0.0,0.0,0.0
code_task_107_data_qwen,107,qwen,False,C,C,C,459,1,919,311,1.0235181163604303,14.857142857142856,12.438571428571429,5,WA,code_task_107_data_qwen.py,13,9,9,1,3,87.21852839020067,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.0095097750043269,2.377443751081734,code_task_107_data_qwen,5.0,2.0,1.0,1.0,1.0,code_task_107_data_qwen.py,3,0.0,0.0,0.0
code_task_107_data_gpt4,107,gpt4,False,C,C,C,460,1,919,104,1.0000050809760002,14.857142857142856,12.438571428571429,5,WA,code_task_107_data_gpt4.py,6,5,5,0,0,74.32675679259947,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5,code_task_107_data_gpt4,1.0,1.0,0.0,0.0,0.0,code_task_107_data_gpt4.py,3,0.0,0.0,0.0
code_task_107_data_Mixtral,107,Mixtral,False,C,C,C,461,1,919,625,1.0000018624656668,14.857142857142856,12.438571428571429,5,WA,code_task_107_data_Mixtral.py,22,11,10,6,3,93.26586937876748,5,7,12,7,12,19,12,68.11428751370197,4.285714285714286,291.9183750587227,0.0227047625045673,16.217687503262372,code_task_107_data_Mixtral,5.0,4.0,0.0,0.0,1.0,code_task_107_data_Mixtral.py,2,0.0,0.0,0.0
code_task_107_data_magiccoder,107,magiccoder,True,B,C,B,462,1,919,6391,1.0086553620728265,14.857142857142856,12.438571428571429,0,CE,code_task_107_data_magiccoder.py,123,90,62,31,31,63.43078857507724,2,44,46,30,59,89,46,491.59701408907415,1.3409090909090908,659.1869052558039,0.1638656713630247,36.621494736433554,code_task_107_data_magiccoder,1.0,0.0,1.0,0.0,0.0,code_task_107_data_magiccoder.py,30,0.0,0.0,0.0
code_task_108_data_chatglm,108,chatglm,False,C,C,C,463,1,1129,226,1.0000006704275366,12.523128491620112,9.783178770949721,9,WA,code_task_108_data_chatglm.py,12,10,10,0,3,69.4458918400094,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.0051699250014423,0.861654166907052,code_task_108_data_chatglm,4.0,3.0,0.0,0.0,1.0,code_task_108_data_chatglm.py,3,0.0,0.0,0.0
code_task_108_data_gpt4,108,gpt4,False,A,A,A,464,1,1129,315,1.0000757716081115,12.523128491620112,9.783178770949721,6,AC,code_task_108_data_gpt4.py,15,14,14,0,0,62.649904821005514,5,5,10,5,9,14,10,46.50699332842308,4.5,209.28146997790384,0.0155023311094743,11.62674833210577,code_task_108_data_gpt4,3.0,3.0,0.0,0.0,0.0,code_task_108_data_gpt4.py,8,0.0,0.0,0.0
code_task_108_data_starcoder,108,starcoder,False,C,C,C,465,1,1129,933,1.0000023392813167,12.523128491620112,9.783178770949721,11,WA,code_task_108_data_starcoder.py,32,16,16,8,0,90.32720595669596,4,6,10,5,9,14,10,46.50699332842308,3.0,139.52097998526924,0.0155023311094743,7.75116555473718,code_task_108_data_starcoder,8.0,6.0,0.0,0.0,2.0,code_task_108_data_starcoder.py,9,0.0,0.0,0.0
code_task_109_data_codellama,109,codellama,False,C,C,C,467,1,1910,420,1.0000005512238017,11.051075173271725,9.15096143593389,10,WA,code_task_109_data_codellama.py,19,14,14,0,6,55.262281947785645,6,41,47,29,58,87,47,483.2492300959545,4.2439024390243905,2050.86258626088,0.1610830766986515,113.93681034782668,code_task_109_data_codellama,7.0,3.0,0.0,0.0,4.0,code_task_109_data_codellama.py,4,0.0,0.0,0.0
code_task_109_data_magiccoder,109,magiccoder,False,C,C,C,468,1,1910,307,1.0000011472426182,11.051075173271725,9.15096143593389,6,WA,code_task_109_data_magiccoder.py,14,13,13,0,6,58.02187343583813,8,19,27,18,36,54,27,256.76392511682735,7.578947368421052,1946.0002745696388,0.0855879750389424,108.11112636497994,code_task_109_data_magiccoder,8.0,3.0,0.0,1.0,4.0,code_task_109_data_magiccoder.py,5,0.0,0.0,0.0
code_task_109_data_qwen,109,qwen,False,C,C,C,469,1,1910,1207,1.0000011472426182,11.051075173271725,9.15096143593389,6,WA,code_task_109_data_qwen.py,41,20,20,10,4,82.93285054986282,8,20,28,20,40,60,28,288.44129532345625,8.0,2307.53036258765,0.096147098441152,128.19613125486944,code_task_109_data_qwen,7.0,2.0,0.0,0.0,5.0,code_task_109_data_qwen.py,5,0.0,0.0,0.0
code_task_109_data_gpt4,109,gpt4,False,C,C,C,470,1,1910,656,1.0000180743259923,11.051075173271725,9.15096143593389,14,WA,code_task_109_data_gpt4.py,29,26,26,0,5,49.72211309655727,8,34,42,30,58,88,42,474.5239332045309,6.823529411764706,3237.928014807387,0.1581746444015103,179.8848897115215,code_task_109_data_gpt4,3.0,2.0,0.0,1.0,0.0,code_task_109_data_gpt4.py,7,0.0,0.0,0.0
code_task_110_data_Mixtral,110,Mixtral,False,C,C,C,472,1,1889,754,1.000710419277288,14.84500574052813,12.001492537313435,17,WA,code_task_110_data_Mixtral.py,23,23,19,0,5,54.8682201537771,6,16,22,11,19,30,22,133.78294855911892,3.5625,476.6017542418611,0.0445943161863729,26.477875235658953,code_task_110_data_Mixtral,9.0,5.0,2.0,0.0,2.0,code_task_110_data_Mixtral.py,8,0.0,0.0,0.0
code_task_110_data_codegeex,110,codegeex,False,C,C,C,473,1,1889,255,1.0000006704275366,14.84500574052813,12.001492537313435,10,WA,code_task_110_data_codegeex.py,19,12,12,0,0,65.1205705411343,3,6,9,4,7,11,9,34.86917501586544,1.75,61.021056277764515,0.0116230583386218,3.3900586820980285,code_task_110_data_codegeex,2.0,2.0,0.0,0.0,0.0,code_task_110_data_codegeex.py,3,0.0,0.0,0.0
